longname,shortname,year,chapid
"Argue, J.R. and Tennakoon, A. (2011), Managing urban regrowth with an 'at capacity' stormwater infrastructure, Proceedings of the 34th International Association of Hydro-Environment Engineering and Research World Congress: 33rd Hydrology and Water Resources Symposium: 10th Conference on Hydraulics in Water Engineering, 26 June - 1 July 2011, Brisbane.",Argue and Tennakoon,2011,b9_c4_r106
"Argue, J.R., Hewa, G. and Pezzaniti, D. (2010), The quantity domain of WSUD: Flooding and environmental flows, Proceedings of the 14th Annual Conference on Urban Stormwater: Stormwater 2010 - Creating a Storm: the future of Stormwater Management in Australia, Sydney.",Argue et al,2010,b9_c4_r107
"Bishop, W., Law, S., Newton, J. and Godfrey, M. (2013), Integrated water management opportunities for inner suburban areas, Proceedings of the 8th International Water Sensitive Urban Design Conference, 25-29 November, Gold Coast.",Bishop et al,2013,b9_c4_r108
"Blacktown City Council (), Angus Creek stormwater harvesting project, Brochure, Blacktown.",Blacktown City Council,N/A,b9_c4_r109
"Department of Land and Water Conservation (1998), The constructed wetlands manual, Sydney.",Department of Land and Water Conservation,1998,b9_c4_r11
"Botte, M., Kannangara, D.I. and Tennakoon, A. (2015), On-site stormwater management in urban infill areas - The city of Gosnells' Drainage Challenge, Proceedings of the 2015 IPWEA Conference, 5-8 June, Rotorua, New Zealand.",Botte et al,2015,b9_c4_r110
"Breen, L., Dyer, F., Hairsine, P., Riddiford, J., Sirriwardhena, V. and Zierholz, C. (1997), Controlling sediment and nutrient movement within catchments, Industry report 97/9. Melbourne: Cooperative Research Centre for Catchment Hydrology.",Breen et al,1997,b9_c4_r111
"Cardno Willing (2005), Cronulla business park stormwater treatment train management plan, Final Report, prepared for Australand Holdings Ltd, May, p. 16.",Cardno Willing,2005,b9_c4_r112
"Coombes, P. and Kuczera, G. (2003),  Analysis of the performance of rainwater tanks in Australian capital cities, Proceedings of the 28th International Hydrology and Water Resources Symposium, Engineers Australia, volume 2, Wollongong.",Coombes and Kuczera,2003,b9_c4_r113
"Coombes, P.J. and Barry, M.E. (2008), Determination of available storage in rainwater tanks prior to storm events, Proceedings of the 31st Hydrology and Water Resources Symposium, 15-17 April, Adelaide.",Coombes and Barry,2008,b9_c4_r114
"Coombes, P.J. and Kuczera, G. (2001), Rainwater tank design for water supply and stormwater management, Proceedings of the 5th SIA Regional Conference on Stormwater Management, April, Port Stephens.",Coombes and Kuczera,2001,b9_c4_r115
"Coombes, P.J., Frost, A. and Kuczera, G. (2001), Impact of rainwater tank and on site detention options on stormwater management in the Upper Parramatta River Catchment. Newcastle: Department of Civil, Surveying and Environmental Engineering, University of Newcastle.",Coombes et al,2001,b9_c4_r116
"Coombes, P.J., Kuczera, G and Kalma, J.D. (2000), Economic benefits arising from use of Water Sensitive Urban Development source control measures, Proceedings of the 3rd International Hydrology and Water Resources Symposium, IEAust. 20-23 November, Perth.",Coombes et al,2000,b9_c4_r117
"Coombes, P.J., Kuczera, G. Kalma, J.D. and Argue, J.R. (2002), An evaluation of benefits of source control measures at the regional scale, Urban Water, volume 4(4), pp. 307-320.",Coombes et al,2002,b9_c4_r118
"Coombes, P.J.,Frost, A., Kuczera, G., O'Loughlin, G. and Lees, S. (2002), Rainwater tank options for stormwater management in the Upper Parramatta River Catchment, Proceedings of the 27th Hydrology and Water Resources Symposium, 20-23 May, Melbourne, pp. 474-482.",Coombes et al,2002,b9_c4_r119
"Department of Water, Western Australia (2007),  Stormwater management manual for Western Australia, Perth: Department of Water, W.A.","Department of Water, Western Australia",2007,b9_c4_r12
"Cunliffe, D. A. (1998), Guidance on the use of rainwater tanks, National Environmental Health Forum Monographs, Water Series Number 3. Rundle Mall: Department of Human Services.",Cunliffe,1998,b9_c4_r120
"Department of Health (2003), Urban rainwater collection, Department of Health, Perth, Western Australia, Available at  <http://www.health.wa.gov.au/envirohealth> or <http://www.health.wa.gov.au>, go to Services A-Z/E/Environmental Health.",Department of Health,2003,b9_c4_r121
"Department of Land and Water Conservation (1998), The constructed wetlands manual, volume 1 and 2, Sydney: The Department of Land and Water Conservation, p. 444.",Department of Land and Water Conservation,1998,b9_c4_r122
"Environmental Protection Authority (2005), Strategic advice on managed aquifer recharge using treated wastewater on the Swan coastal plain, Bulletin Report No. 1199, EPA, Perth, Western Australia, Available at: <http://www.epa.gov.wa.au>",Environmental Protection Authority,2005,b9_c4_r123
"Evans, C., Coombes, P.J., Dunstan, H., Harrison, T., Martin, A. and Morrow, A. (2008), Rainwater tanks and microbial quality: Are the indications clear?, Australian Journal of Water Resources, volume 12(2), pp. 143-152.",Evans et al,2008,b9_c4_r124
"Evans, C.A., Coombes, P.J. and Dunstan, R.H. (2006,) Wind, rain and bacteria: The effect of weather on the microbial composition of roof-harvested rainwater. Water Research, volume 40, pp. 37-44.",Evans et al,2006,b9_c4_r125
"Gardiner, A. and Hardy, M. (2005), Beyond demonstration mode: The application of WSUD in Australia, Australian Planner, volume 42, pp. 16-21.",Gardiner and Hardy,2005,b9_c4_r126
"Herrmann, T. and U. Schmida (1999), Rainwater utilisation in Germany: Efficiency, dimensioning, hydraulic and environmental aspects, Urban Water, volume 1(4), pp. 307-316.",Herrmann and Schmida,1999,b9_c4_r127
"Hewa, G., Argue, J.R. and Pezzanti, D. (2009), Setting criteria for environmental and channel forming flows for waterways in urbanising catchments, Proceedings of the 6th International Conference on Water Sensitive Urban Design, 5 - 8 May, Perth.",Hewa et al,2009,b9_c4_r128
"Joliffe, I.B. (1997), Roof tanks - A role in stormwater management, Proceedings of Future Directions for Australian Soil and Water Management, 9-12 September, Brisbane.",Joliffe,1997,b9_c4_r129
"Derwent Estuary Program (2012), Water sensitive urban design: Engineering procedures for stormwater management in Tasmania, Hobart.",Derwent Estuary Program,2012,b9_c4_r13
"Joliffe, I.B. and Fryar, R. (2000), Roofwater tanks-hydrologic and other benefits, Proceedings of the 3rd International Hydrology and Water Resources Symposium, IEAust, 20-23 November, Perth.",Joliffe and Fryar,2000,b9_c4_r130
"Kannangara D.I., Botte M. and Sarukkalige P.R. (2012), An innovative approach to stormwater management accounting for spatial variability in soil permeability, Proceedings of the 7th International Conference on Water Sensitive Urban Design, 21-23 February, Melbourne.",Kannangara et al,2012,b9_c4_r131
"Khastagir, A. and Jayasuriya L. N. N. (2010), Impacts of using rainwater tanks on stormwater harvesting and runoff quality, Water Science and Technology, volume 62(2), pp. 324-329.",Khastagir and Jayasuriya,2010,b9_c4_r132
"Kuczera, G. (2008), Urban water supply drought security: A comparative analysis of complimentary centralised and decentralised storage systems, Proceedings of the 31st Hydrology and Water Resources Symposium, 15-17 April, Adelaide.",Kuczera,2008,b9_c4_r133
"Lee, A., Hewa, G., Pezzaniti, D. and Argue, J.R. (2008), Improving stream low flow regimes in urbanised catchments using water sensitive urban design techniques, Australian Journal of Water Resources, volume 12(2), pp. 121-132.",Lee et al,2008,b9_c4_r134
"Lucas, S.A. and Coombes, P.J. (2009), Mains water savings and stormwater management benefits from large architecturally-designed under-floor rainwater storages, Proceedings of SSEE 2009: Solutions for a Sustainable Planet, Engineers Australia, 23-24 November, Melbourne, pp. 386-397.",Lucas and Coombes,2009,b9_c4_r135
"Phillips, B.C., Daniels, C. and McKenzie, G. (1999), An infiltration-based stormwater management strategy for the Cronulla Integrated Resort, NSW, Proceedings of Water 99: Joint Congress, Engineers Australia, 6-8 July, Brisbane, pp. 932-937.",Phillips et al,1999,b9_c4_r136
"Vaes, G. and J. Berlamont (2001), The effect of rainwater storage tanks on design storms. Urban Water, volume 3(4), pp. 303-307.",Vaes and Berlamont,2001,b9_c4_r137
"van der Sterren, M., Rahman, A. and Dennis, G.R. (2013), Quality and quantity monitoring of five rainwater tanks in Western Sydney, Australia, Journal of Environmental Engineering, volume 139(3), pp. 332-340.",van der Sterren et al,2013,b9_c4_r138
"van der Sterren, M., Rahman, A. and Ryan G. (2014), Modelling of a lot scale rainwater tank system in XP-SWMM: A case study in Western Sydney, Australia, Journal of Environmental Management, volume 141, pp. 177-189.",van der Sterren et al,2014,b9_c4_r139
"Engineers Australia (2006), Australian runoff quality - a guide to water sensitive urban design, Wong, T. H.F. (Editor-in-Chief), Barton.",Engineers Australia,2006,b9_c4_r14
"Argue, J.R., Boubli, D. and Coombes, P.J. (2003), Innovative water cycle design/management at a difficult site: Heritage Mews in Western Sydney, Australia, Proceedings of the 2nd National Conference on Sustainable Drainage, 23-24 June 2003, Coventry, UK.",Argue et al,2003,b9_c4_r140
"Butler, D. and J. Parkingson (1997), Towards sustainable drainage, Water Science and Technology, volume 35(9), pp. 53-63.",Butler and Parkingson,1997,b9_c4_r141
"Cardno Willing (2002), Study on the combined effects of OSD and rainwater tanks on the Upper Parramatta River Catchment at varying sub-catchment scales, Final Report, prepared for the UPRCT, October.",Cardno Willing,2002,b9_c4_r142
"Cardno Willing (2004), Study on the combined effects of OSD and rainwater tanks on the Upper Parramatta River Catchment at varying sub-catchment scales, additional assessments, Final Report, prepared for the UPRCT, February.",Cardno Willing,2004,b9_c4_r143
"Chanan, A. and Woods, P. (2006), Introducing total water cycle management in Sydney: a Kogarah council initiative, Desalination, volume 187(1), pp. 11-16.",Chanan and Woods,2006,b9_c4_r144
"Coombes P.J., Boubli, D. and Argue, J.R. (2003), Integrated water cycle management at the Heritage Mews development in Western Sydney, Proceedings of the 28th International Hydrology and Water Resources Symposium, 10-13 November, Wollongong.",Coombes et al,2003,b9_c4_r145
"Coombes, P.J. (2009), The use of rainwater tanks as a supplement or replacement for onsite stormwater detention (OSD) in the Knox Area of Victoria, Proceedings of the 32nd Hydrology and Water Resources Symposium, 30 November to 3 December, pp. 616-627.",Coombes,2009,b9_c4_r146
"Finnemore, E. J. and Lynard W.G. (1982), Management and control technology for urban stormwater pollution, Water Pollution Control Federation, Volume 54(7), pp. 1099-1111.",Finnemore and Lynard,1982,b9_c4_r147
"Goyen, A.G., Lees, S.J. and Phillips, B.C. (2002), Analysis of allotment based storage, infiltration and reuse drainage strategies to minimize urbanisation effects, Proceedings of the 9th International Conference on Urban Drainage, IAHR/IWA, 8-13 September, Portland.",Goyen et al,2002,b9_c4_r148
"Kannangara, D., Botte, M. and Thennakoon, A. (2013), An efficient and sustainable stormwater management approach to infill development where existing drainage runs 'at capacity', Proceedings of the 8th International Water Sensitive Urban Design Conference, 25-29 November, Gold Coast.",Kannangara et al,2013,b9_c4_r149
"Facility for advancing water biofiltration (2009), Guidelines for filter media in biofiltration systems, Melbourne: FAWB.",Facility for Advanced Water Biofiltration,2009,b9_c4_r15
"Pezzaniti, D., Argue, J.R. and Johnston, L. (2002), Detention/retention storages for peak flow reduction in urban catchments: Effects of spatial deployment of storages, Australian Journal of Water Resources, volume 7(2), pp. 131-137.",Pezzaniti et al,2002,b9_c4_r150
"Phillips, B.C. and Yu, S. (2015), How robust are OSD and OSR Systems?, Proceedings of the 3rd International Erosion Control Conference and 9th International Water Sensitive Urban Design Conference, 20-22 October 2015, Darling Harbour.",Phillips and Yu,2015,b9_c4_r151
"Phillips, B.C., Goyen, A.G. and Lees, S.J. (2005), Improving the sustainability of on-site detention in urban catchments, Proceedings of the 10th International Conference on Urban Drainage, IAHR/IWA, 21-26 August, Copenhagen.",Phillips et al,2005,b9_c4_r152
"Phillips, B.C., Smith, J. and Tickle, R. (2000), Integrating stormwater quantity and quality control - The McGovern basin and wetland, Dubbo, Proceedings of the IPWEA Inaugural Conference, 30 April-3 May, Penrith",Phillips et al,2000,b9_c4_r153
"Ruddell, N. (2005), Conversion of a dry detention basin to a wet basin to achieve water quality outcomes and stormwater harvesting in bonnyrigg, Proceedings of the SIA NSW Conference, 20-21 April, Port Macquarie.",Ruddell,2005,b9_c4_r154
"Scott, P., Santos, R. and Argue, J.A. (1998), OSD versus OSR: Performance, environmental and cost comparisons in a residential catchment, Proceedings of the NOVATECH'98 3rd international conference on innovative technologies in urban storm drainage,  4-6 May, 1998 Lyon, France.",Scott et al,1998,b9_c4_r155
"Tennakoon, A. and Argue, J.R. (2011), Managing urban regrowth with an 'at capacity' stormwater infrastructure, Proceedings of the 34th IAHR Congress, 26 June -1 July, Brisbane.",Tennakoon and Argue,2011,b9_c4_r156
"Thompson, G.R., Goyen, A.G. and Phillips, B.C. (2004), Evaluating the interaction of on-site detention tanks and roof water tanks in low impact developments at varying catchment scales, Proceedings of STORMCON 2004, 26-29 July 2004, Palm Desert, USA.",Thompson et al,2004,b9_c4_r157
"van der Sterren, M. (2012), Assessment of the impact of rainwater tanks and on-site detention on urban run-off quantity and quality characteristics. PhD Thesis, University of Western Sydney.",van der Sterren et al,2012,b9_c4_r158
"van der Sterren, M. (2014), Integrated stormwater management design on a lot scale: The rainwater tank and onsite detention debate, Proceedings of the Stormwater NSW Conference, 17-19 September 2013, Blue Mountains.",van der Sterren et al,2014,b9_c4_r159
"Government of South Australia (2010), Water sensitive urban design technical manual: Greater Adelaide region, Adelaide: Department of Planning and Local Government.",Government of South Australia,2010,b9_c4_r16
